         786300 function calls (779308 primitive calls) in 0.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 __init__.py:50(<module>)
        1    0.000    0.000    0.006    0.006 platform.py:10(<module>)
      252    0.004    0.000    0.006    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.002    0.002    0.006    0.006 decimal.py:116(<module>)
        1    0.000    0.000    0.005    0.005 util.py:247(find_library)
        1    0.000    0.000    0.005    0.005 util.py:209(_findSoname_ldconfig)
    50010    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.005    0.005 html.py:6(<module>)
60392/59292    0.005    0.000    0.005    0.000 {len}
        1    0.000    0.000    0.005    0.005 text.py:6(<module>)
        1    0.000    0.000    0.005    0.005 sgml.py:3(<module>)
        1    0.000    0.000    0.005    0.005 encoding.py:4(<module>)
   131/65    0.000    0.000    0.005    0.000 pyparsing.py:3341(copy)
    29731    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
      572    0.005    0.000    0.005    0.000 {imp.find_module}
        1    0.000    0.000    0.005    0.005 sgmllib.py:1(<module>)
      397    0.001    0.000    0.005    0.000 __init__.py:1462(has_metadata)
3593/3589    0.003    0.000    0.005    0.000 {method 'join' of 'str' objects}
    35759    0.004    0.000    0.005    0.000 {method 'get' of 'dict' objects}
       80    0.000    0.000    0.005    0.000 declarations.py:584(__init__)
    61/11    0.000    0.000    0.004    0.000 pyparsing.py:3266(leaveWhitespace)
    19012    0.004    0.000    0.004    0.000 version.py:48(<lambda>)
        1    0.000    0.000    0.004    0.004 interface.py:666(_wire)
     6908    0.004    0.000    0.004    0.000 version.py:207(<genexpr>)
      252    0.004    0.000    0.004    0.000 {_io.open}
        1    0.000    0.000    0.004    0.004 version.py:4(<module>)
      660    0.000    0.000    0.004    0.000 __init__.py:1373(safe_name)
    11402    0.004    0.000    0.004    0.000 {getattr}
      680    0.001    0.000    0.004    0.000 genericpath.py:46(isdir)
      199    0.000    0.000    0.004    0.000 __init__.py:1471(get_metadata_lines)
        6    0.000    0.000    0.004    0.001 parser.py:616(_compile)
        1    0.000    0.000    0.004    0.004 iweb.py:11(<module>)
      199    0.000    0.000    0.004    0.000 __init__.py:1465(get_metadata)
      660    0.001    0.000    0.004    0.000 re.py:148(sub)
    20268    0.004    0.000    0.004    0.000 version.py:54(<lambda>)
        1    0.000    0.000    0.004    0.004 url.py:4(<module>)
      204    0.004    0.000    0.004    0.000 {method 'read' of 'file' objects}
       27    0.001    0.000    0.004    0.000 {__import__}
     7127    0.002    0.000    0.004    0.000 sre_parse.py:206(match)
        2    0.000    0.000    0.003    0.002 binding.py:177(init_static_locks)
        3    0.000    0.000    0.003    0.001 binding.py:163(_ensure_ffi_initialized)
      329    0.002    0.000    0.003    0.000 __init__.py:2666(insert_on)
      872    0.001    0.000    0.003    0.000 genericpath.py:23(exists)
       22    0.000    0.000    0.003    0.000 six.py:80(_import_module)
        6    0.000    0.000    0.003    0.001 six.py:114(_resolve)
        1    0.001    0.001    0.003    0.003 binding.py:100(build_conditional_library)
       13    0.000    0.000    0.003    0.000 pyparsing.py:2631(__init__)
     1976    0.002    0.000    0.003    0.000 __init__.py:2494(key)
      345    0.002    0.000    0.003    0.000 ro.py:18(_mergeOrderings)
        1    0.000    0.000    0.003    0.003 version.py:191(Version)
     5687    0.002    0.000    0.003    0.000 inspect.py:51(ismodule)
        1    0.001    0.001    0.003    0.003 urllib.py:23(<module>)
        1    0.000    0.000    0.003    0.003 interfaces.py:15(<module>)
    18347    0.003    0.000    0.003    0.000 {method 'group' of '_sre.SRE_Match' objects}
      471    0.001    0.000    0.003    0.000 copy.py:306(_reconstruct)
       61    0.001    0.000    0.003    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.003    0.003 urlparse.py:29(<module>)
      199    0.001    0.000    0.003    0.000 __init__.py:1576(_get)
        1    0.000    0.000    0.003    0.003 address.py:6(<module>)
        1    0.000    0.000    0.003    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.003    0.003 webbrowser.py:2(<module>)
        1    0.000    0.000    0.003    0.003 html.py:4(<module>)
     1884    0.002    0.000    0.003    0.000 __init__.py:2621(__getattr__)
     6929    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.003    0.003 credentials.py:9(<module>)
     1127    0.000    0.000    0.003    0.000 interface.py:525(__eq__)
        1    0.001    0.001    0.002    0.002 config.py:25(<module>)
     6368    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.002    0.002 re.py:143(search)
        1    0.000    0.000    0.002    0.002 random.py:40(<module>)
     4785    0.002    0.000    0.002    0.000 stat.py:55(S_ISLNK)
     2636    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x906bc0}
      300    0.002    0.000    0.002    0.000 interface.py:612(fromFunction)
      120    0.000    0.000    0.002    0.000 __init__.py:2950(_find_adapter)
        1    0.000    0.000    0.002    0.002 headers.py:1(<module>)
        1    0.000    0.000    0.002    0.002 base.py:7(<module>)
      205    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
      617    0.001    0.000    0.002    0.000 genericpath.py:34(isfile)
      345    0.001    0.000    0.002    0.000 ro.py:47(_flatten)
     4544    0.002    0.000    0.002    0.000 {hasattr}
      394    0.000    0.000    0.002    0.000 __init__.py:1564(_has)
        1    0.000    0.000    0.002    0.002 unix.py:11(<module>)
      120    0.002    0.000    0.002    0.000 __init__.py:2939(_get_mro)
        1    0.000    0.000    0.002    0.002 __init__.py:2266(EntryPoint)
      582    0.001    0.000    0.002    0.000 inspect.py:398(getfile)
        1    0.000    0.000    0.002    0.002 spidermw.py:5(<module>)
     7354    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
     1127    0.001    0.000    0.002    0.000 interface.py:487(__cmp)
        1    0.000    0.000    0.002    0.002 multibackend.py:5(<module>)
     3168    0.002    0.000    0.002    0.000 interface.py:518(__hash__)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4882(makeHTMLTags)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4853(_makeTags)
    13864    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      288    0.001    0.000    0.002    0.000 deprecate.py:377(__getattribute__)
        1    0.000    0.000    0.002    0.002 ssl.py:88(<module>)
    11774    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 __init__.py:99(<module>)
        5    0.000    0.000    0.002    0.000 six.py:195(load_module)
        1    0.000    0.000    0.002    0.002 conf.py:1(<module>)
      596    0.001    0.000    0.002    0.000 __init__.py:1523(_fn)
       30    0.000    0.000    0.002    0.000 webbrowser.py:121(_iscommand)
        1    0.002    0.002    0.002    0.002 socket.py:45(<module>)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1227(setParseAction)
      378    0.000    0.000    0.002    0.000 __init__.py:1856(has_metadata)
        1    0.000    0.000    0.002    0.002 process.py:11(<module>)
       83    0.000    0.000    0.002    0.000 pyparsing.py:1799(__add__)
        1    0.000    0.000    0.002    0.002 protocol.py:10(<module>)
      471    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
        4    0.000    0.000    0.002    0.000 __init__.py:2135(declare_namespace)
      946    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       21    0.000    0.000    0.002    0.000 six.py:91(__get__)
       27    0.000    0.000    0.002    0.000 pyparsing.py:1016(_trim_arity)
      825    0.001    0.000    0.002    0.000 sre_compile.py:428(_simple)
      661    0.002    0.000    0.002    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      134    0.001    0.000    0.002    0.000 pyparsing.py:3238(__init__)
        1    0.000    0.000    0.002    0.002 ConfigParser.py:88(<module>)
      474    0.001    0.000    0.002    0.000 interface.py:192(subscribe)
        1    0.001    0.001    0.002    0.002 xmlerror.pxi:694(__initErrorConstants)
        1    0.000    0.000    0.002    0.002 rpc.py:6(<module>)
        1    0.000    0.000    0.002    0.002 webbrowser.py:454(register_X_browsers)
        1    0.000    0.000    0.002    0.002 filepath.py:7(<module>)
      132    0.000    0.000    0.002    0.000 linecache.py:33(getlines)
        1    0.000    0.000    0.002    0.002 __init__.py:1632(MemoizedZipManifests)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3368(__init__)
     3146    0.001    0.000    0.001    0.000 sre_parse.py:149(append)
        1    0.001    0.001    0.001    0.001 hashlib.py:56(<module>)
     1332    0.001    0.000    0.001    0.000 __init__.py:2412(<lambda>)
       26    0.000    0.000    0.001    0.000 traceback.py:281(extract_stack)
        2    0.000    0.000    0.001    0.001 pyparsing.py:4741(srange)
       17    0.000    0.000    0.001    0.000 linecache.py:72(updatecache)
     4075    0.001    0.000    0.001    0.000 sre_parse.py:137(__len__)
        1    0.000    0.000    0.001    0.001 python.py:3(<module>)
      252    0.000    0.000    0.001    0.000 codecs.py:311(decode)
