         786276 function calls (779284 primitive calls) in 0.621 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      252    0.004    0.000    0.006    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    50006    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
        1    0.002    0.002    0.006    0.006 decimal.py:116(<module>)
        1    0.000    0.000    0.006    0.006 interfaces.py:8(<module>)
        1    0.000    0.000    0.005    0.005 html.py:6(<module>)
        1    0.000    0.000    0.005    0.005 text.py:6(<module>)
        1    0.000    0.000    0.005    0.005 interface.py:666(_wire)
60392/59292    0.005    0.000    0.005    0.000 {len}
        1    0.000    0.000    0.005    0.005 encoding.py:4(<module>)
   131/65    0.000    0.000    0.005    0.000 pyparsing.py:3341(copy)
      572    0.005    0.000    0.005    0.000 {imp.find_module}
    29727    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
       80    0.000    0.000    0.005    0.000 declarations.py:584(__init__)
      397    0.001    0.000    0.005    0.000 __init__.py:1462(has_metadata)
    35751    0.004    0.000    0.005    0.000 {method 'get' of 'dict' objects}
3593/3589    0.003    0.000    0.005    0.000 {method 'join' of 'str' objects}
    61/11    0.000    0.000    0.005    0.000 pyparsing.py:3266(leaveWhitespace)
    19012    0.004    0.000    0.004    0.000 version.py:48(<lambda>)
        1    0.000    0.000    0.004    0.004 sgml.py:3(<module>)
        1    0.000    0.000    0.004    0.004 version.py:4(<module>)
     6908    0.004    0.000    0.004    0.000 version.py:207(<genexpr>)
      252    0.004    0.000    0.004    0.000 {_io.open}
      660    0.001    0.000    0.004    0.000 __init__.py:1373(safe_name)
        1    0.000    0.000    0.004    0.004 sgmllib.py:1(<module>)
    11402    0.004    0.000    0.004    0.000 {getattr}
      199    0.000    0.000    0.004    0.000 __init__.py:1471(get_metadata_lines)
      204    0.004    0.000    0.004    0.000 {method 'read' of 'file' objects}
       27    0.001    0.000    0.004    0.000 {__import__}
        6    0.000    0.000    0.004    0.001 parser.py:616(_compile)
      680    0.001    0.000    0.004    0.000 genericpath.py:46(isdir)
